"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241","TC-API-16 | Each transaction has an amount field","chromium","2026-05-29","passed","2026-05-29","Block 4 — Transactions","api.spec.js","",""
"","2359","TC-LOAN-01 | Loan request page loads after login","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","ADD_ON_loan.spec.js","",""
"","2679","TC-BILL-03 | Bill pay page title contains relevant text","chromium","2026-05-29","passed","2026-05-29","Block 1 — Page Load","bill.spec.js","",""
"","1889","TC-PROF-16 | Profile page accessible via left nav link","webkit","2026-06-05","passed","2026-06-05","Block 5 — Navigation","profile.spec.js","",""
"","1304","TC-TXN-17 | Activity page accessible from account overview table","chromium","2026-06-05","passed","2026-06-05","Block 5 — Navigation","transaction.spec.js","",""
"","1236","TC-TRF-15 | Transfer link in left nav is visible after login","firefox","2026-06-05","passed","2026-06-05","Block 5 — Navigation","transfer.spec.js","",""
"","2641","TC-BILL-14 | Bill pay link is visible in left nav after login","chromium","2026-05-29","passed","2026-05-29","Block 5 — Navigation","bill.spec.js","",""
"","1181","TC-AUTH-08 | Account Services heading visible after login","firefox","2026-06-05","passed","2026-06-05","Block 2 — Valid Login","auth.spec.js","",""
"","110","TC-API-08 | Each account has an id field","firefox","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","1885","TC-BILL-02 | Right panel is visible on bill pay page","webkit","2026-06-05","passed","2026-06-05","Block 1 — Page Load","ADD_ON_bill.spec.js","",""
"","2020","TC-TRF-09 | Success page shows transfer complete message","webkit","2026-06-05","passed","2026-06-05","Block 3 — Valid Transfer","transfer.spec.js","",""
"","2154","TC-ACCT-14 | Account table content is not empty","firefox","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","2404","TC-TRF-03 | From account dropdown is visible","firefox","2026-06-05","passed","2026-06-05","Block 1 — Transfer Page UI","transfer.spec.js","",""
"","1206","TC-LOAN-12 | Applying with large amount shows response","chromium","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","1342","TC-PROF-07 | City input is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","1496","TC-LOAN-18 | From account dropdown has correct element id","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","1445","TC-PROF-10 | First name field is pre-filled","firefox","2026-06-05","passed","2026-06-05","Block 3 — Pre-filled Data","profile.spec.js","",""
"","91","TC-API-11 | Account detail contains type field","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","1517","TC-LOAN-04 | Loan amount input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","1511","TC-TRF-12 | Zero amount shows error or stays on page","firefox","2026-06-05","passed","2026-06-05","Block 4 — Invalid Transfer","transfer.spec.js","",""
"","1395","TC-BILL-16 | Payee name input accepts and retains text value","firefox","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1319","TC-PROF-06 | Address input is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","1759","TC-TRF-14 | Page content is visible after invalid submit","webkit","2026-06-05","passed","2026-06-05","Block 4 — Invalid Transfer","transfer.spec.js","",""
"","1374","TC-BILL-06 | Amount input is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","1053","TC-LOAN-16 | Down payment input accepts numeric value","chromium","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","2034","TC-TXN-15 | Searching by amount returns page content","webkit","2026-06-05","passed","2026-06-05","Block 4 — Amount Filter","transaction.spec.js","",""
"","1644","TC-LOAN-12 | Applying with large amount shows response","firefox","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","3034","TC-LOAN-13 | Applying with zero amount shows response","chromium","2026-05-29","passed","2026-05-29","Block 4 — Loan Application","loan.spec.js","",""
"","1582","TC-TRF-07 | To account dropdown has at least one account","webkit","2026-06-05","passed","2026-06-05","Block 2 — Account Dropdowns","transfer.spec.js","",""
"","1057","TC-PROF-02 | Right panel is visible on profile page","chromium","2026-06-05","passed","2026-06-05","Block 1 — Page Load","profile.spec.js","",""
"","1575","TC-PROF-09 | Update Profile button is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","74","TC-API-13 | Transactions endpoint returns 200","webkit","2026-06-05","passed","2026-06-05","Block 4 — Transactions","ADD_ON_api.spec.js","",""
"","447","TC-API-01 | Login endpoint returns 200 for valid credentials","firefox","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","1086","TC-AUTH-14 | URL contains index or login after logout","chromium","2026-06-05","passed","2026-06-05","Block 4 — Logout","auth.spec.js","",""
"","1279","TC-BILL-10 | From account dropdown loads accounts","firefox","2026-06-05","passed","2026-06-05","Block 3 — From Account","ADD_ON_bill.spec.js","",""
"","1754","TC-BILL-20 | Send Payment button has correct input type","webkit","2026-06-05","failed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1491","TC-ACCT-16 | Multiple accounts can exist in table","webkit","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","2499","TC-LOAN-06 | From account dropdown is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","1639","TC-BILL-15 | Bill pay page accessible via left nav link","webkit","2026-06-05","passed","2026-06-05","Block 5 — Navigation","ADD_ON_bill.spec.js","",""
"","82","TC-API-09 | Account detail endpoint returns 200","chromium","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","1358","TC-TRF-05 | From account dropdown has at least one account","firefox","2026-06-05","passed","2026-06-05","Block 2 — Account Dropdowns","transfer.spec.js","",""
"","1519","TC-BILL-08 | Send Payment button is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","1094","TC-AUTH-03 | Password input is visible","webkit","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","757","TC-AUTH-17 | Register button is visible on register page","firefox","2026-06-05","passed","2026-06-05","Block 5 — Registration Page","auth.spec.js","",""
"","1951","TC-TXN-10 | Transaction type dropdown is visible","webkit","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","2438","TC-LOAN-05 | Down payment input is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","1566","TC-BILL-12 | Payment response contains payment related text","firefox","2026-06-05","passed","2026-06-05","Block 4 — Payment Submit","ADD_ON_bill.spec.js","",""
"","1854","TC-TRF-09 | Success page shows transfer complete message","firefox","2026-06-05","passed","2026-06-05","Block 3 — Valid Transfer","transfer.spec.js","",""
"","1009","TC-PROF-01 | Profile page loads after login","chromium","2026-06-05","passed","2026-06-05","Block 1 — Page Load","profile.spec.js","",""
"","83","TC-API-08 | Each account has an id field","webkit","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","3063","TC-BILL-06 | Amount input is visible","chromium","2026-05-29","passed","2026-05-29","Block 2 — Form Fields","bill.spec.js","",""
"","1728","TC-LOAN-10 | Applying for loan shows response","firefox","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","1718","TC-TRF-08 | Valid transfer shows success title","webkit","2026-06-05","passed","2026-06-05","Block 3 — Valid Transfer","transfer.spec.js","",""
"","999","TC-TRF-05 | From account dropdown has at least one account","chromium","2026-06-05","passed","2026-06-05","Block 2 — Account Dropdowns","transfer.spec.js","",""
"","1683","TC-TXN-13 | Amount search input is visible","firefox","2026-06-05","passed","2026-06-05","Block 4 — Amount Filter","transaction.spec.js","",""
"","2101","TC-ACCT-01 | Account overview page loads after login","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","account.spec.js","",""
"","929","TC-ACCT-14 | Account table content is not empty","chromium","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","1797","TC-LOAN-01 | Loan request page loads after login","webkit","2026-06-05","passed","2026-06-05","Block 1 — Page Load","ADD_ON_loan.spec.js","",""
"","1327","TC-LOAN-10 | Applying for loan shows response","chromium","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","97","TC-API-05 | Accounts endpoint returns 200","firefox","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","1314","TC-TXN-06 | Transaction table has at least one row","chromium","2026-06-05","passed","2026-06-05","Block 2 — Transaction Table","transaction.spec.js","",""
"","2716","TC-TXN-03 | Page title contains account related text","firefox","2026-06-05","passed","2026-06-05","Block 1 — Account Activity Page Load","transaction.spec.js","",""
"","1285","TC-ACCT-13 | Back to overview from account detail works","chromium","2026-06-05","passed","2026-06-05","Block 4 — Navigation","account.spec.js","",""
"","938","TC-ACCT-15 | Account table has header row","chromium","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","2955","TC-LOAN-02 | Right panel is visible on loan page","chromium","2026-05-29","passed","2026-05-29","Block 1 — Page Load","loan.spec.js","",""
"","1611","TC-ACCT-04 | At least one account row is present","webkit","2026-06-05","passed","2026-06-05","Block 1 — Page Load","account.spec.js","",""
"","1164","TC-TXN-02 | Right panel content is visible on activity page","chromium","2026-06-05","passed","2026-06-05","Block 1 — Account Activity Page Load","transaction.spec.js","",""
"","3055","TC-BILL-04 | Payee name input is visible","chromium","2026-05-29","passed","2026-05-29","Block 2 — Form Fields","bill.spec.js","",""
"","830","TC-AUTH-04 | Log In button is visible","firefox","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","1044","TC-LOAN-17 | Loan form has required input fields","chromium","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","81","TC-API-12 | Invalid account id returns non-200 status","chromium","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","1029","TC-PROF-09 | Update Profile button is visible","chromium","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","2148","TC-AUTH-07 | Logout link appears after successful login","firefox","2026-06-05","passed","2026-06-05","Block 2 — Valid Login","auth.spec.js","",""
"","1495","TC-ACCT-10 | Available balance is displayed","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Details","account.spec.js","",""
"","1599","TC-PROF-06 | Address input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","89","TC-API-12 | Invalid account id returns non-200 status","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","909","TC-AUTH-06 | Valid credentials redirect to account overview","chromium","2026-06-05","passed","2026-06-05","Block 2 — Valid Login","auth.spec.js","",""
"","1573","TC-BILL-07 | Account number input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","2048","TC-TXN-09 | Activity month dropdown is visible","webkit","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","2174","TC-PROF-15 | Profile link is visible in left nav after login","firefox","2026-06-05","passed","2026-06-05","Block 5 — Navigation","profile.spec.js","",""
"","1755","TC-TRF-13 | Empty amount field shows error or stays on page","webkit","2026-06-05","passed","2026-06-05","Block 4 — Invalid Transfer","transfer.spec.js","",""
"","70","TC-API-09 | Account detail endpoint returns 200","webkit","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","70","TC-API-04 | Invalid login returns non-200 status","webkit","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","1513","TC-TXN-07 | Transaction table content is not empty","firefox","2026-06-05","passed","2026-06-05","Block 2 — Transaction Table","transaction.spec.js","",""
"","1331","TC-LOAN-07 | Apply Now button is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","2750","TC-TXN-15 | Searching by amount returns page content","firefox","2026-06-05","passed","2026-06-05","Block 4 — Amount Filter","transaction.spec.js","",""
"","2472","TC-LOAN-03 | Loan page content contains relevant text","chromium","2026-05-29","passed","2026-05-29","Block 1 — Page Load","loan.spec.js","",""
"","1468","TC-BILL-02 | Right panel is visible on bill pay page","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","ADD_ON_bill.spec.js","",""
"","1134","TC-BILL-11 | Submitting valid payment shows response","chromium","2026-06-05","passed","2026-06-05","Block 4 — Payment Submit","ADD_ON_bill.spec.js","",""
"","1796","TC-AUTH-13 | Logout returns to login page","firefox","2026-06-05","passed","2026-06-05","Block 4 — Logout","auth.spec.js","",""
"","1886","TC-TXN-11 | Go button for filter is visible","webkit","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","1661","TC-BILL-06 | Amount input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","1080","TC-TRF-04 | Transfer button is visible","chromium","2026-06-05","passed","2026-06-05","Block 1 — Transfer Page UI","transfer.spec.js","",""
"","1436","TC-LOAN-17 | Loan form has required input fields","firefox","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","616","TC-AUTH-02 | Username input is visible","chromium","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","1552","TC-TRF-02 | Amount input field is visible","webkit","2026-06-05","passed","2026-06-05","Block 1 — Transfer Page UI","transfer.spec.js","",""
"","1513","TC-LOAN-19 | Loan amount input can be cleared and re-entered","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","1054","TC-AUTH-10 | Wrong username shows error","firefox","2026-06-05","passed","2026-06-05","Block 3 — Invalid Login","auth.spec.js","",""
"","721","TC-AUTH-04 | Log In button is visible","chromium","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","1088","TC-BILL-20 | Send Payment button has correct input type","chromium","2026-06-05","failed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1166","TC-ACCT-06 | Clicking first account navigates to activity page","chromium","2026-06-05","passed","2026-06-05","Block 2 — Account Links","account.spec.js","",""
"","1232","TC-LOAN-13 | Applying with zero amount shows response","chromium","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","1412","TC-LOAN-08 | From account dropdown loads options","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Dropdown","ADD_ON_loan.spec.js","",""
"","67968","TC-BILL-06 | Amount input is visible","chromium","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","74","TC-API-05 | Accounts endpoint returns 200","webkit","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","2085","TC-BILL-12 | Payment response contains payment related text","webkit","2026-06-05","passed","2026-06-05","Block 4 — Payment Submit","ADD_ON_bill.spec.js","",""
"","2488","TC-ACCT-09 | Account type is displayed","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Details","account.spec.js","",""
"","1365","TC-TXN-16 | Back to overview from activity page works","chromium","2026-06-05","passed","2026-06-05","Block 5 — Navigation","transaction.spec.js","",""
"","2366","TC-BILL-11 | Submitting valid payment shows response","webkit","2026-06-05","passed","2026-06-05","Block 4 — Payment Submit","ADD_ON_bill.spec.js","",""
"","1225","TC-BILL-14 | Bill pay link is visible in left nav after login","firefox","2026-06-05","passed","2026-06-05","Block 5 — Navigation","ADD_ON_bill.spec.js","",""
"","1488","TC-ACCT-15 | Account table has header row","webkit","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","1688","TC-ACCT-09 | Account type is displayed","webkit","2026-06-05","passed","2026-06-05","Block 3 — Account Details","account.spec.js","",""
"","1619","TC-BILL-19 | Account number input can be cleared and re-entered","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","235","TC-API-11 | Account detail contains type field","chromium","2026-05-29","passed","2026-05-29","Block 3 — Account Details","api.spec.js","",""
